camera,date,filename,location,time,url
SM-S908B,16.August 2025,20250816_215833,20250816_215833,Saturday 21:58,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::UHNRbFI5Q0lmTDdEOVQxVGhiSHl2UT09?height=1080
SM-S908B,16.August 2025,20250816_215831,20250816_215831,Saturday 21:58,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::a3pjMTFnWlZ4eUptZ0hGWDFXczRmdz09?height=1080
SM-S908B,16.August 2025,20250816_215829,20250816_215829,Saturday 21:58,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::Y3RrKzFlWmlOeFdMOHBmTVZra1Q0Zz09?height=1080
iPhone 15 Pro Max,16.August 2025,IMG_8956_1755451271693,"Landiwiese, Mythenquai, 8038 Zürich, Switzerland",Saturday 21:57,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::SmRleUp5TmZoZFlqR0N4WElwdW9mQT09?height=1080
iPhone 15 Pro Max,16.August 2025,IMG_8955_1755451273696,"Landiwiese, Mythenquai, 8038 Zürich, Switzerland",Saturday 21:57,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::OGV3NmlhVCtSNUhPcVZzYmhnOHlHZz09?height=1080
iPhone 15 Pro Max,16.August 2025,IMG_8954_1755451275772,"Landiwiese, Mythenquai, 8038 Zürich, Switzerland",Saturday 21:57,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::V3VQWkhHYnVmbmZTKy8yY095elJNZz09?height=1080
iPhone 15 Pro Max,16.August 2025,IMG_8953_1755451277960,"Landiwiese, Mythenquai, 8038 Zürich, Switzerland",Saturday 21:57,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::aVRRbll5RXVvd3pmc3ZCeE9rRWczUT09?height=1080
iPhone 15 Pro Max,16.August 2025,IMG_8952_1755451280085,"Landiwiese, Mythenquai, 8038 Zürich, Switzerland",Saturday 21:56,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::T1g1M1RSYWw5aFFTTGVDTXNOd09FZz09?height=1080
iPhone 15 Pro Max,16.August 2025,IMG_8951_1755451282070,"Landiwiese, Mythenquai, 8038 Zürich, Switzerland",Saturday 21:56,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::Z1o0MGRtOVdITkZocFc1anNIQ2Y2dz09?height=1080
SM-S908B,16.August 2025,20250816_215114,20250816_215114,Saturday 21:51,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::eFhTU3NJeFZHcU8wb2FKZTR6UXM4dz09?height=1080
SM-S908B,16.August 2025,20250816_215111,20250816_215111,Saturday 21:51,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::ME9qZXh3R2FRVHpTdjVzYVhUNGVpQT09?height=1080
SM-S908B,16.August 2025,20250816_215016,20250816_215016,Saturday 21:50,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::TjgrZTV4SEtHeXpKMDVlSGg3TDdFdz09?height=1080
SM-S908B,16.August 2025,20250816_215011,20250816_215011,Saturday 21:50,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::c3g4eEM1K3RqRmg0ODBpS0NSREhQZz09?height=1080
SM-S908B,16.August 2025,20250816_144141,20250816_144141,Saturday 14:41,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::WkZhV3BpbHhaekpOWFQvL1l2Sy95QT09?height=1080
SM-S908B,15.August 2025,20250815_115715,20250815_115715,Friday 11:57,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::K1B1aW8xWk9pbXdCdnlreE9GZ2F6dz09?height=1080
SM-S908B,13.August 2025,20250813_190350,20250813_190350,Wednesday 19:03,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::WVRKeWlDeDFXeDZMdkJiYVJ2Q0pSdz09?height=1080
SM-S908B,9.August 2025,20250809_221416,20250809_221416,Saturday 22:14,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::a3ZTZUY2RzR6cW55VE91UDhHdnh3dz09?height=1080
SM-S908B,9.August 2025,20250809_215623,20250809_215623,Saturday 21:56,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::SS9mUFFwSlpjL3RGQmNmREgyQTdIUT09?height=1080
SM-S908B,9.August 2025,20250809_215623,20250809_215623,Saturday 21:56,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::eUpKVmQrTFVoRksxTUJYMldudGRLZz09?height=1080
SM-S908B,9.August 2025,20250809_215553,20250809_215553,Saturday 21:55,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::dHFSQzh6VWs0SzZqclZRQjlVS1JQZz09?height=1080
SM-S908B,9.August 2025,20250809_215553,20250809_215553,Saturday 21:55,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::ajB0b0xVWGVJWnJPWDVaN2JwTFZhUT09?height=1080
SM-S908B,9.August 2025,20250809_215536,20250809_215536,Saturday 21:55,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::eGl1ei9wdmRBeGZBb0FnWHhyK2hRZz09?height=1080
SM-S908B,9.August 2025,20250809_215514,20250809_215514,Saturday 21:55,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::SFc0aVcwZktiMDZmRjVxVHBYbUxtZz09?height=1080
SM-S908B,9.August 2025,20250809_215510,20250809_215510,Saturday 21:55,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::QUdFNnM0L0I2MW4vSTBabUJUQ0U0dz09?height=1080
SM-S908B,9.August 2025,20250809_215504,20250809_215504,Saturday 21:55,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::TVVSWDQ0eStkZkZDYUVDQmFPTllvQT09?height=1080
SM-S908B,9.August 2025,20250809_215500,20250809_215500,Saturday 21:55,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::WUdHbG5tdnFKdG1YQ1loYklCT0lyZz09?height=1080
SM-S908B,9.August 2025,20250809_215452,20250809_215452,Saturday 21:54,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::K3QvUVpteHlGQjRFdkFEbkM1Y1UrUT09?height=1080
